_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Recreation,Infrastructure,Adjala-Tosorontio,Accessibility Upgrades to Three Municipal Public Parks,Planning,2023,The project will upgrade accessibility at three parks and includes accessible pathways and a play structure designed for people with disabilities. The changes will improve access for all park users.,,Simcoe,Central,7855 Sideroad 30 Road,L9R1V1,,295275,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.246169,-80.021502
2,Recreation,Infrastructure,Ajax,Improved Recreational Infrastructure for Residents in Ajax,Planning,Aug-25,"Work includes replacing court pavement, upgrading lighting, and making the court more accessible to improve public safety.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,174840,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.837342,-79.02019
3,Recreation,Infrastructure,Ajax,Improved Recreational Infrastructure for Residents in Ajax,Planning,Nov-23,"Improvements include the replacement of the clubhouse roof, and updating change rooms, washrooms, and the kitchen. The facility will also undergo extensive upgrades that will improve accessibility, modify spectator seating, entranceways and walkways, enhance signage and lighting, and renovate practice facilities. This project will greatly improve the quality of cricket facilities while ensuring that all community members can enjoy watching, learning, and playing cricket for years to come.",,Durham,Central,65 Harwood Avenue South/Sud,L1S2H9,,3181836,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000374/canada-and-ontario-invest-in-improved-recreational-infrastructure-for-residents-in-ajax,43.835545,-79.02095
4,Recreation,Infrastructure,Armstrong,Rehabilitation of the (Earlton) Pool Building Facility,Planning,Feb-25,"Replacement of plumbing and drains, upgrading the boiler to a gas heating unit paired with a rooftop solar array, raising the foundation of the facility, improvements to the entrance to connect to access routes of the parking area, and the creation of fully accessible washrooms, change rooms, and reception area.",,Timiskaming,Northeast,35 Tenth Street/Rue,P0J1E0,,473000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,47.712844,-79.827977
5,Recreation,Infrastructure,Arran-Elderslie,Paisley Town Hall Accessibility Project,Complete,Jun-22,"The project will install an accessibility lift and a hoist beam, which also involves drywall, framing, flooring, and painting. In addition, the furnace will be upgraded. The changes will improve accessibility to this historic building.",,Bruce,Southwest,1925 Bruce Road 10,N0G1L0,,193988,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.306407,-81.272633
6,Recreation,Infrastructure,Asphodel-Norwood,Community Centre Expansion Project,Planning,2023,"The project will construct a 3,500 square foot expansion to the community centre. The expansion will include a studio space, fitness area and accessible change rooms and showers. The expansion will better meet the recreational and social needs of residents and the surrounding communities.",,Peterborough,East,2357 County Road,K0L2V0,,1164000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61090/en-nr-pete,44.380622,-77.971954
7,Recreation,Infrastructure,Assiginack,Renovate and Rehabilitate Recreation at Assiginack Fairgrounds,Planning,Dec-24,"Renovations involve upgrading the baseball diamond lighting, sliding hill, and outdoor track, building a basketball court, jumping pits and a new storage building, converting part of the arena to a multi-purpose fitness room, installing soccer nets, as well as purchasing and installing exercise equipment for the fitness room.",,Manitoulin,Northeast,156 Arthur Street,P0P1N0,,665703,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,45.740546,-81.812333
8,Recreation,Infrastructure,Bancroft,North Hastings Community Hub,Planning,2022,Build an inclusive and accessible community hub in the downtown core of the community,,Hastings,East,8 Hastings Heritage Way,K0L1C0,,1874900,Yes,Yes,Yes,,,45.058053,-77.853284
9,Recreation,Infrastructure,Barrie,BNFC Community Centre Upgrades,Planning,2023,"The project will upgrade the mechanical, electrical, plumbing and lighting systems, doors, parking lot, as well as the acoustic panels and flooring in the gym. The changes will improve the quality, accessibility and safety of the facility.",,Simcoe,Central,175 Bayfield Street,L4M3B4,,916875,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.394964,-79.694453
10,Recreation,Infrastructure,Bayham,Straffordville Community Centre in the Municipality of Bayham,Planning,Nov-23,"The expansion of the community centre will include additional changing rooms, a canteen, universal washroom, commercial kitchen, as well as the construction of an open air pavilion. This funding will build a new accessible walking trail, repair a pavilion and sports field building and upgrade lighting inside the centre. Once completed, residents, youth and vulnerable people will have access to a spacious, all-season, accessible community hub offering extensive and better adapted recreational options.",,Elgin,Southwest,56169 Heritage Line,N0J1Y0,,2003300,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000326/canada-and-ontario-invest-over-14-million-to-rehabilitate-the-straffordville-community-centre-in-the-municipality-of-bayham,42.748739,-80.78143
11,Recreation,Infrastructure,Bearskin Lake First Nation,Bearskin Lake Community Beach and Pavillion,Planning,Aug-23,"The project will clean up two beach areas, add two pavilions and install picnic tables and potentially, washroom facilities. The upgrades will result in an improved recreational facility for residents and visitors to enjoy for years to come.",,,Northwest,160 Alcona Drive,P8T1A3,,562362,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-5,53.916,-90.972
12,Recreation,Infrastructure,Beausoleil First Nation,Renovations to Historical Library Building,Planning,2023,"The project will rebuild the front steps of the library and add a ramp to improve accessibility, rebrick and parge exterior walls, and  rewire the entire building. The upgrades will improve community access and extend the life of this historic building.",,,Central,150 Mkade Kegwin Miikan,L9M0A9,,250000,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-1,44.82205,-80.17563
